City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Qaanaaq,GL,31.48,scattered clouds,77.484,-69.3632,Qaanaaq Hotel
36,Nikolskoye,RU,39.0,overcast clouds,59.7035,30.7861,Tourist House - Sablino
50,Maniitsoq,GL,39.69,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
51,Upernavik,GL,36.27,clear sky,72.7868,-56.1549,Gina's Guesthouse - Upernavik
56,Tasiilaq,GL,37.4,light rain,65.6145,-37.6368,The Red House
78,Kajaani,FI,35.6,overcast clouds,64.2273,27.7285,Original Sokos Hotel Valjus
80,Aasiaat,GL,36.39,broken clouds,68.7098,-52.8699,Hotel Aasiaat Sømandshjem
92,Petropavlovsk-Kamchatskiy,RU,33.8,light rain,53.0452,158.6483,The Hotel Petropavlovsky
95,Kosino,RU,35.76,broken clouds,58.4127,51.2782,Kbf Grupp
132,Pionerskiy,RU,36.0,scattered clouds,54.9508,20.2275,Baltica Pension
148,Tommot,RU,32.88,overcast clouds,58.9564,126.2925,Gostinitsa Tommot
161,Andenes,NO,35.6,light rain,69.3143,16.1194,Hotell Marena
163,Toguchin,RU,38.79,overcast clouds,55.2353,84.3858,Stolitsa
165,Thompson,CA,37.4,broken clouds,55.7435,-97.8558,Burntwood Hotel
170,Severo-Kurilsk,RU,31.8,snow,50.6789,156.125,Kak Doma
178,Zhigansk,RU,32.5,light snow,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
187,Police,PL,39.0,clear sky,53.5521,14.5718,Hotel Dobosz
192,Berlevag,NO,32.0,broken clouds,70.8578,29.0864,Kvitbrakka
207,Yar-Sale,RU,33.06,overcast clouds,66.8333,70.8333,Yalemd
209,Fujin,CN,36.57,few clouds,47.26,132.0322,Xilong Hotel Fujin Shop
214,Notodden,NO,39.99,few clouds,59.5594,9.2585,Brattrein Hotel
228,Norman Wells,CA,37.4,few clouds,65.282,-126.8329,Heritage Hotel
231,Vilyuysk,RU,32.9,overcast clouds,63.7553,121.6247,Gostinitsa Viliuisk
240,Iqaluit,CA,33.8,overcast clouds,63.7506,-68.5145,Frobisher Inn
248,Pahalgam,IN,37.53,clear sky,34.0333,75.3333,Grand Mumtaz Resorts Pahalgam
257,Zbiroh,CZ,37.0,scattered clouds,49.8602,13.7726,Penzion Karel Matějka
270,Chunskiy,RU,30.49,light snow,56.0815,99.6342,Odisseya
274,Loukhi,RU,34.07,overcast clouds,66.0764,33.0381,Хостел Северяночка
277,Muhos,FI,37.4,overcast clouds,64.808,25.9931,Montta - active camping / campsite Montan
293,Vardo,NO,33.8,few clouds,70.3705,31.1107,Vardø Hotel AS
297,Belyy Yar,RU,35.6,clear sky,53.6039,91.3903,Pasportnyy Stol
311,Pangody,RU,31.78,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
312,Polyarnyy,RU,32.0,broken clouds,69.1989,33.4478,Hotel Tatyana
315,Beringovskiy,RU,31.12,overcast clouds,63.05,179.3167,Beringgorski
322,Nyurba,RU,31.87,overcast clouds,63.2842,118.3319,Gostinitsa Alrosa
330,Ivanava,BY,33.46,broken clouds,52.1451,25.5365,Bed&Breakfast Valeria
341,Snasa,NO,37.4,broken clouds,64.2457,12.3778,Snåsa Hotell AS
376,Miass,RU,36.95,few clouds,55.045,60.1083,Apartments 8 marta 147
392,Milkovo,RU,33.17,overcast clouds,54.7167,158.6167,"Hotel ""Geologist"""
424,Yamada,JP,37.69,few clouds,39.4667,141.95,Iroha-ya Inn
425,Suntar,RU,34.2,light snow,62.1444,117.6319,Дом у Мамы
445,Little Current,CA,37.99,overcast clouds,45.9793,-81.9248,Hawberry Motel
451,Nemuro,JP,32.0,few clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
460,Pangnirtung,CA,32.0,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
464,Paamiut,GL,36.77,light rain,61.994,-49.6678,Yeet Hotel
468,Romodanovo,RU,38.55,clear sky,54.4275,45.3296,Romodanovo Saransk Apartment
491,Koshurnikovo,RU,30.65,light snow,54.1667,93.3,Outskirts Manor
495,Aldan,RU,31.06,snow,58.6031,125.3894,Aldan Guest House
517,Roald,NO,37.99,broken clouds,62.5833,6.1333,Flem Cabins
536,Amurzet,RU,36.97,broken clouds,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
542,Husavik,IS,37.4,overcast clouds,66.0449,-17.3389,Bjarnabúð
565,Bierun,PL,37.0,clear sky,50.09,19.0929,Gloria
577,Iwaki,JP,36.0,clear sky,37.05,140.8833,Toyoko Inn Iwaki Ekimae
613,Mustasaari,FI,34.0,light snow,63.1142,21.6822,Hotel Astor
619,Rorvik,NO,37.4,broken clouds,64.8621,11.2373,Kysthotellet Rørvik AS
627,Sorland,NO,35.6,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
631,Kaitangata,NZ,37.0,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
633,Novobirilyussy,RU,34.77,overcast clouds,56.9514,90.6661,Gostinitsa
643,Skelleftea,SE,37.4,overcast clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
647,Moose Factory,CA,30.2,few clouds,51.2585,-80.6094,Moosonee Lilypad
656,Svetlogorsk,BY,32.56,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
659,Iskateley,RU,39.11,overcast clouds,67.6803,53.1512,Hostel Agat
688,Dalvik,IS,37.4,overcast clouds,65.9702,-18.5286,Dalvík HI Hostel
689,Terrace Bay,CA,37.4,few clouds,48.7834,-87.1,Drifters Motel & Restaurant
